draw,date,ad_date,numbers,price,lottery_type
104000002,104/01/02,2015-01-02,"07,09,18,28,30",8000000,daily_cash
104000003,104/01/03,2015-01-03,"09,14,28,31,32",8000000,daily_cash
104000004,104/01/05,2015-01-05,"09,10,16,24,28",8000000,daily_cash
104000005,104/01/06,2015-01-06,"16,19,20,26,36",8000000,daily_cash
104000006,104/01/07,2015-01-07,"12,13,14,36,37",8000000,daily_cash
104000007,104/01/08,2015-01-08,"12,15,21,26,29",8000000,daily_cash
104000008,104/01/09,2015-01-09,"01,08,09,11,17",8000000,daily_cash
104000009,104/01/10,2015-01-10,"04,12,26,31,37",8000000,daily_cash
104000010,104/01/12,2015-01-12,"07,15,24,34,37",8000000,daily_cash
104000011,104/01/13,2015-01-13,"12,13,26,33,39",8000000,daily_cash
104000012,104/01/14,2015-01-14,"05,12,19,30,35",8000000,daily_cash
104000013,104/01/15,2015-01-15,"09,11,12,17,34",8000000,daily_cash
104000014,104/01/16,2015-01-16,"05,09,16,28,33",8000000,daily_cash
104000015,104/01/17,2015-01-17,"04,13,23,32,39",8000000,daily_cash
104000016,104/01/19,2015-01-19,"10,12,29,37,38",8000000,daily_cash
104000017,104/01/20,2015-01-20,"02,14,17,28,32",8000000,daily_cash
104000018,104/01/21,2015-01-21,"02,16,18,32,35",8000000,daily_cash
104000019,104/01/22,2015-01-22,"01,11,15,24,32",8000000,daily_cash
104000020,104/01/23,2015-01-23,"06,07,08,10,16",8000000,daily_cash
104000021,104/01/24,2015-01-24,"05,07,12,13,15",8000000,daily_cash
104000022,104/01/26,2015-01-26,"01,02,09,10,21",8000000,daily_cash
104000023,104/01/27,2015-01-27,"09,16,17,21,28",8000000,daily_cash
104000024,104/01/28,2015-01-28,"01,05,17,27,30",8000000,daily_cash
104000025,104/01/29,2015-01-29,"02,06,09,10,26",8000000,daily_cash
104000026,104/01/30,2015-01-30,"05,13,28,29,36",8000000,daily_cash
104000027,104/01/31,2015-01-31,"04,06,16,35,37",8000000,daily_cash
104000028,104/02/02,2015-02-02,"13,17,23,29,39",8000000,daily_cash
104000029,104/02/03,2015-02-03,"09,17,22,23,29",8000000,daily_cash
104000030,104/02/04,2015-02-04,"01,13,28,35,36",8000000,daily_cash
104000031,104/02/05,2015-02-05,"07,10,20,23,36",8000000,daily_cash
104000032,104/02/06,2015-02-06,"02,14,25,30,31",8000000,daily_cash
104000033,104/02/07,2015-02-07,"04,06,16,21,31",8000000,daily_cash
104000034,104/02/09,2015-02-09,"12,25,26,28,39",8000000,daily_cash
104000035,104/02/10,2015-02-10,"07,15,17,22,25",8000000,daily_cash
104000036,104/02/11,2015-02-11,"05,06,15,23,29",8000000,daily_cash
104000037,104/02/12,2015-02-12,"02,07,20,25,32",8000000,daily_cash
104000038,104/02/13,2015-02-13,"01,04,16,23,33",8000000,daily_cash
104000039,104/02/14,2015-02-14,"04,05,08,20,33",8000000,daily_cash
104000040,104/02/16,2015-02-16,"02,14,20,27,31",8000000,daily_cash
104000041,104/02/17,2015-02-17,"01,04,17,22,29",8000000,daily_cash
104000042,104/02/18,2015-02-18,"07,12,17,25,30",8000000,daily_cash
104000043,104/02/19,2015-02-19,"03,12,21,26,30",8000000,daily_cash
104000044,104/02/20,2015-02-20,"09,10,15,19,24",8000000,daily_cash
104000045,104/02/21,2015-02-21,"02,15,18,26,31",8000000,daily_cash
104000046,104/02/23,2015-02-23,"04,23,24,25,38",8000000,daily_cash
104000047,104/02/24,2015-02-24,"11,12,14,23,27",8000000,daily_cash
104000048,104/02/25,2015-02-25,"05,11,25,26,38",8000000,daily_cash
104000049,104/02/26,2015-02-26,"08,18,29,36,39",8000000,daily_cash
104000050,104/02/27,2015-02-27,"01,12,16,30,33",8000000,daily_cash
104000051,104/02/28,2015-02-28,"08,09,11,23,28",8000000,daily_cash
